Wall time,Step,Value
1701427903.1347113,0,0.02034454233944416
1701428149.1925356,1,0.019682034850120544
1701428406.9065363,2,0.01943793147802353
1701428662.2768729,3,0.019063012674450874
1701428917.7351787,4,0.018737155944108963
1701429175.7903554,5,0.018620513379573822
1701429436.8221326,6,0.01857602968811989
1701429698.72295,7,0.01832224801182747
1701429958.283402,8,0.018084896728396416
1701430215.105881,9,0.017949730157852173
1701430460.0875468,10,0.017466744408011436
1701430704.416954,11,0.01746111549437046
1701430952.2699153,12,0.01722577214241028
1701431205.873405,13,0.016923408955335617
1701431451.7351465,14,0.01659051515161991
1701431697.4514651,15,0.01675112172961235
1701431946.9975872,16,0.016366904601454735
1701432205.4388185,17,0.016171159222722054
1701432463.4192867,18,0.015984782949090004
1701432720.526255,19,0.01574530079960823
